NAME                                    VERSION                 TYPE   
pcre2                                   10.42-r1                apk     
pexpect                                 4.8.0                   python  
php81                                   8.1.23-r0               apk     
php81-common                            8.1.23-r0               apk     
php81-curl                              8.1.23-r0               apk     
php81-iconv                             8.1.23-r0               apk     
php81-mbstring                          8.1.23-r0               apk     
php81-openssl                           8.1.23-r0               apk     
php81-phar                              8.1.23-r0               apk     
php81-tokenizer                         8.1.23-r0               apk     
php81-zip                               8.1.23-r0               apk     
pip                                     23.1.2                  python  
pixman                                  0.42.2-r1               apk     
pkgconf                                 1.9.5-r0                apk     
pkginfo                                 1.9.6                   python  
platformdirs                            3.5.0                   python  
poetry                                  1.4.2                   python  
poetry                                  1.4.2-r1                apk     
poetry-core                             1.5.2                   python  
poetry-plugin-export                    1.3.1                   python  
poetry-pyc                              1.4.2-r1                apk     
postcss-selector-parser                 6.0.12                  npm     
proc-log                                3.0.0                   npm     
process                                 0.11.10                 npm     
promise-all-reject-late                 1.0.1                   npm     
promise-call-limit                      1.0.2                   npm     
promise-inflight                        1.0.1                   npm     
promise-retry                           2.0.1                   npm     
promzard                                1.0.0                   npm     
ptyprocess                              0.7.0                   python  
py3-attrs                               23.1.0-r1               apk     
py3-attrs-pyc                           23.1.0-r1               apk     
py3-build                               0.10.0-r1               apk     
py3-build-pyc                           0.10.0-r1               apk     
py3-cachecontrol                        0.12.11-r2              apk     
py3-cachecontrol-pyc                    0.12.11-r2              apk     
py3-certifi                             2023.5.7-r0             apk     
py3-certifi-pyc                         2023.5.7-r0             apk     
py3-cffi                                1.15.1-r3               apk     
py3-cffi-pyc                            1.15.1-r3               apk     
py3-charset-normalizer                  3.1.0-r1                apk     
py3-charset-normalizer-pyc              3.1.0-r1                apk     
py3-cleo                                2.0.1-r1                apk     
py3-cleo-pyc                            2.0.1-r1                apk     
py3-cparser                             2.21-r2                 apk     
py3-cparser-pyc                         2.21-r2                 apk     
py3-crashtest                           0.4.1-r2                apk     
py3-crashtest-pyc                       0.4.1-r2                apk     
py3-cryptography                        40.0.2-r1               apk     
py3-cryptography-pyc                    40.0.2-r1               apk     
py3-distlib                             0.3.6-r2                apk     
py3-distlib-pyc                         0.3.6-r2                apk     
py3-dulwich                             0.21.5-r0               apk     
py3-dulwich-pyc                         0.21.5-r0               apk     
py3-filelock                            3.11.0-r2               apk     
py3-filelock-pyc                        3.11.0-r2               apk     
py3-html5lib                            1.1-r4                  apk     
py3-html5lib-pyc                        1.1-r4                  apk     
py3-idna                                3.4-r4                  apk     
py3-idna-pyc                            3.4-r4                  apk     
py3-importlib-metadata                  5.2.0-r1                apk     
py3-importlib-metadata-pyc              5.2.0-r1                apk     
py3-installer                           0.7.0-r1                apk     
py3-installer-pyc                       0.7.0-r1                apk     
py3-jaraco.classes                      3.2.3-r3                apk     
